SN	Status	PartID	FPGAver		NegTime		NegDeadChCount	NegStatus	NegBoardID	PosTime		PosDeadChCount	PosStatus	PosBoardID
2469	4	-	c8081502	1535660271	0		2		2		1535660271	0		2		2		
1494	4	-	c8081502	1535648885	0		2		2		1535648885	0		2		2		
1864	4	-	c8081502	1535637524	0		2		2		1535637524	0		2		2		
2694	4	-	c8081502	1535654826	0		2		1		1535654826	0		2		1		
1626	4	-	c8081502	1535642823	0		2		2		1535642823	0		2		2		
1630	4	-	c8081502	1535645274	0		2		2		1535645274	0		2		2		
2604	4	-	c8081502	1535622215	0		2		2		1535622215	0		2		2		
1969	4	-	c8081502	1535616156	0		2		1		1535616156	0		2		1		
2695	4	FR3118	c8081502	1535651199	0		2		1		1535651199	0		2		1		
2470	4	FR3118	c8081502	1535659838	0		2		2		1535659838	0		2		2		
1838	4	FR3118	c8081502	1535620267	0		2		1		1535620267	0		2		1		
2660	4	FR3118	c8081502	1535634885	0		2		1		1535634885	0		2		1		
2074	4	-	c8081502	1535632311	0		2		1		1535632311	0		2		1		
1880	4	FR3118	c8081502	1535627042	0		2		1		1535627042	0		2		1		
1877	4	-	c8081502	1535627957	0		2		1		1535627957	0		2		1		
2104	4	-	c8081502	1535658859	0		2		1		1535658859	0		2		1		
2025	4	-	c8081502	1535640950	0		2		1		1535640950	0		2		1		
1873	0	-	c8081502	1535629334	0		2		1		1544096624	6		0		2		
2027	4	-	c8081502	1535641925	0		2		1		1535641925	0		2		1		
2602	4	FR3118	c8081502	1535619975	0		2		2		1535619975	0		2		2		
2717	4	-	c8081502	1535625907	0		2		2		1535625907	0		2		2		
1862	4	FR3118	c8081502	1535635423	0		2		2		1535635423	0		2		2		
584	4	-	c8081502	1535614954	0		2		2		1535614954	0		2		2		
581	4	-	c8081502	1535616102	0		2		2		1535616102	0		2		2		
1858	4	-	c8081502	1535633760	0		2		2		1535633760	0		2		2		
2702	4	FR3118	c8081502	1535656006	0		2		1		1535656006	0		2		1		
1979	4	-	c8081502	1535618404	0		2		1		1535618404	0		2		1		
1944	4	-	c8081502	1535608117	0		2		1		1535608117	0		2		1		
1825	4	-	c8081502	1535623761	0		2		1		1535623761	0		2		1		
1970	4	-	c8081502	1535616541	0		2		1		1535616541	0		2		1		
1837	0	FR3118	c8081502	1535619251	1		1		1		1544368916	64		0		1		
2004	1	-	c8081502	1535647396	1		1		1		1535647396	1		1		1		
1628	4	-	c8081502	1535644503	0		2		2		1535644503	0		2		2		
1489	2	-	c8081502	1535645698	1		1		2		1535645698	0		2		2		
1866	1	-	c8081502	1535638172	2		1		2		1535638172	2		1		2		
1619	4	-	c8081502	1535641688	0		2		2		1535641688	0		2		2		
1836	2	-	c8081502	1535620608	2		1		1		1535620608	0		2		1		
2593	2	FR3118	c8081502	1535616870	2		1		2		1535616870	0		2		2		
1702	4	-	c8081502	1535655957	0		2		2		1535655957	0		2		2		
577	4	-	c8081502	1535616480	0		2		2		1535616480	0		2		2		
2659	4	FR3118	c8081502	1535636914	0		2		1		1535636914	0		2		1		
1883	4	FR3118	c8081502	1535625643	0		2		1		1535625643	0		2		1		
1950	4	FR3118	c8081502	1535610736	0		2		1		1535610736	0		2		1		
1491	4	-	c8081502	1535649379	0		2		2		1535649379	0		2		2		
2001	1	FR3118	c8081502	1535644847	2		1		1		1535644847	2		1		1		
583	4	FR3018	c8081502	1535615762	0		2		2		1535615762	0		2		2		
1952	4	FR3118	c8081502	1535611595	0		2		1		1535611595	0		2		1		
1617	4	FR3118	c8081502	1535640595	0		2		2		1535640595	0		2		2		
2770	4	-	c8081502	1535607058	0		2		2		1535607058	0		2		2		
2475	4	-	c8081502	1535661658	0		2		2		1535661658	0		2		2		
3118	1	-	c8081502	1535649620	1		1		1		1535649620	1		1		1		
2024	4	-	c8081502	1535643854	0		2		1		1535643854	0		2		1		
2665	4	-	c8081502	1535638549	0		2		1		1535638549	0		2		1		
1832	4	-	c8081502	1535621584	0		2		1		1535621584	0		2		1		
1698	3	-	c8081502	1535650818	0		2		2		1544298839	2		1		1		
1704	4	-	c8081502	1535656679	0		2		2		1535656679	0		2		2		
2013	4	FR3118	c8081502	1535648320	0		2		1		1535648320	0		2		1		
2014	2	-	c8081502	1535650594	1		1		1		1535650594	0		2		1		
2103	4	FR3118	c8081502	1535661920	0		2		1		1535661920	0		2		1		
2777	4	-	c8081502	1535612499	0		2		2		1535612499	0		2		2		
2607	4	-	c8081502	1535620785	0		2		2		1535620785	0		2		2		
1831	4	FR3118	c8081502	1535622001	0		2		1		1535622001	0		2		1		
2012	4	FR3118	c8081502	1535650250	0		2		1		1535650250	0		2		1		
1856	1	-	c8081502	1535633370	1		1		2		1535633370	1		1		2		
2716	1	FR3118	c8081502	1535626893	2		1		2		1535626893	1		1		2		
2006	0	-	c8081502	1535646694	0		2		1		1535646694	7		0		1		
578	4	-	c8081502	1535610674	0		2		2		1535610674	0		2		2		
1699	1	-	c8081502	1535651153	1		1		2		1535651153	1		1		2		
1886	4	FR3118	c8081502	1535624595	0		2		1		1535624595	0		2		1		
2106	4	FR3118	c8081502	1535659493	0		2		1		1535659493	0		2		1		
2009	4	-	c8081502	1535648638	0		2		1		1535648638	0		2		1		
2601	4	-	c8081502	1535620445	0		2		2		1535620445	0		2		2		
1629	4	FR3118	c8081502	1535646561	0		2		2		1535646561	0		2		2		
2707	4	FR3118	c8081502	1535622900	0		2		2		1535622900	0		2		2		
1865	4	-	c8081502	1535638887	0		2		2		1535638887	0		2		2		
1847	4	FR3118	c8081502	1535629266	0		2		2		1535629266	0		2		2		
1623	4	-	c8081502	1535643599	0		2		2		1535643599	0		2		2		
1947	4	FR3118	c8081502	1535609825	0		2		1		1535609825	0		2		1		
1973	1	-	c8081502	1535614293	1		1		1		1535614293	1		1		1		
1627	4	-	c8081502	1535644858	0		2		2		1535644858	0		2		2		
2005	4	FR3118	c8081502	1535646383	0		2		1		1535646383	0		2		1		
1624	4	-	c8081502	1535642499	0		2		2		1535642499	0		2		2		
2722	4	-	c8081502	1535630000	0		2		1		1535630000	0		2		1		
2662	4	-	c8081502	1535633812	0		2		1		1535633812	0		2		1		
2699	4	-	c8081502	1535656381	0		2		1		1535656381	0		2		1		
2019	0	-	c8081502	1535642925	19		0		1		1535642925	0		2		1		
2782	4	-	c8081502	1535611064	0		2		2		1535611064	0		2		2		
2692	4	-	c8081502	1535655377	0		2		1		1535655377	0		2		1		
2107	4	-	c8081502	1535659798	0		2		1		1535659798	0		2		1		
1946	4	-	c8081502	1535608835	0		2		1		1535608835	0		2		1		
1490	1	-	c8081502	1535646034	2		1		2		1535646034	2		1		2		
1621	1	-	c8081502	1535642066	1		1		2		1535642066	1		1		2		
1878	1	FR3118	c8081502	1535628314	1		1		1		1535628314	1		1		1		
1843	4	FR3118	c8081502	1535628622	0		2		2		1535628622	0		2		2		
2719	1	-	c8081502	1535627240	1		1		2		1535627240	1		1		2		
1875	3	FR3118	c8081502	1535628691	0		2		1		1535628691	1		1		1		
